gene_name	log2FoldChange	pvalue	padj
ACAP2	0,031297979	0,876736016	1
ACAP2-IT1	-0,488436032	0,665064118	1
ACAP3	0,206385047	0,246043415	1
ACAT1	-0,157203165	0,374540162	1
ACAT2	-0,646394035	0,000685667	1
ACBD3	-0,114824834	0,489870605	1
ACBD3-AS1	1,104486038	0,859221612	1
ACBD4	-0,211029455	0,620559704	1
ACBD5	-0,113427958	0,509611968	1
ACBD6	-0,02065134	0,910362393	1
ACBD7	-0,226404866	0,427051635	1
ACCS	0,042437925	0,892590819	1
ACCSL	-0,590167167	0,923812006	1
ACD	-0,094039261	0,720141868	1
ACE	0,964578303	0,279642308	1
ACE2	-3,673528822	0,070206627	1
ACER1	0,262817792	0,949274586	1
ACER2	0,337380162	0,556335136	1
ACER3	0,030564256	0,866844516	1
ACHE	0,055126107	0,818953117	1
ACIN1	0,052590071	0,707313933	1
ACKR1	0,613997226	0,369389133	1
ACKR2	-0,232319083	0,913178375	1
ACKR3	-0,18167041	0,509051186	1
ACKR4	0,105574375	0,926608181	1
ACLY	-0,10115498	0,498266095	1
ACMSD	0	1	1
ACO1	-0,112503449	0,466989469	1
ACO2	0,052536438	0,702705058	1
ACOD1	-1,295435906	0,834628663	1
ACOT1	0,074158771	0,822228591	1
ACOT11	0,048628075	0,875463727	1
ACOT12	0,887777579	0,748078783	1
ACOT13	-0,27047459	0,178895788	1
ACOT2	-0,182206432	0,426624215	1
ACOT4	-2,22274287	0,065534065	1
ACOT6	1,077093805	0,861804605	1
ACOT7	-0,195190672	0,385687164	1
ACOT8	-0,301300581	0,187248798	1
ACOT9	0,140061398	0,368317704	1
ACOX1	-0,074614826	0,650090832	1
ACOX2	0,12267498	0,695021041	1
ACOX3	0,036299136	0,861073224	1
ACOXL	1,471081327	0,628235501	1
ACOXL-AS1	-0,030193843	0,960926985	1
ACP1	-0,11464319	0,415111112	1
ACP2	-0,175109352	0,32424008	1
ACP3	0,689342559	0,5792366	1
ACP5	0	1	1
ACP6	0,083305434	0,753259068	1
ACP7	0,077916211	0,98995564	1
ACR	-0,870759072	0,766971378	1
ACRBP	0,833356272	0,399605503	1
ACRV1	0	1	1
ACSBG1	0,070980747	0,89336416	1
ACSBG2	0,955231624	0,833427002	1
ACSF2	-0,061045808	0,786640631	1
ACSF3	0,232286067	0,230473677	1
ACSL1	-0,29778806	0,134734581	1
ACSL3	-0,158082331	0,271055316	1
ACSL4	-0,201100703	0,176543017	1
ACSL5	-1,530979804	0,353248475	1
ACSL6	-0,106128072	0,823305559	1
ACSL6-AS1	-2,533426619	0,453861721	1
ACSM1	0,670515706	0,853002747	1
ACSM2A	5,981621287	0,127067363	1
ACSM2B	-3,33866325	0,428069189	1
ACSM3	-0,298782851	0,690434158	1
ACSM5	-3,545049745	0,322446989	1
ACSS1	-0,119946507	0,604353889	1
ACSS2	0,221264378	0,341170482	1
ACSS3	-0,123284465	0,564050267	1
ACTA1	0,230786061	0,275802444	1
ACTA2	-0,335412237	0,505322972	1
ACTA2-AS1	0,506793794	0,807591658	1
ACTB	-0,057904799	0,726777598	1
ACTBL2	-1,076227471	0,862451474	1
ACTBP11	0	1	1
ACTBP14	-2,342423046	0,70512266	1
ACTBP15	0,935652221	0,873998386	1
ACTBP2	1,099688338	0,849226224	1
ACTBP4	-1,295435906	0,834628663	1
ACTBP7	0	1	1
ACTBP8	-1,839259593	0,766510391	1
ACTC1	-0,027761181	0,963827759	1
ACTE1P	-0,342322033	0,657399356	1
ACTG1	0,016776875	0,909904902	1
ACTG1P1	0,638774442	0,562924041	1
ACTG1P12	1,065642084	0,86402973	1
ACTG1P14	3,442297094	0,164105435	1
ACTG1P16	0,859750575	0,888471638	1
ACTG1P17	0,295308746	0,775771658	1
ACTG1P20	0,621902459	0,611329628	1
ACTG1P23	1,514103884	0,80746723	1
ACTG1P24	0,946410424	0,577360932	1
ACTG1P25	-0,075004091	0,932554117	1
ACTG1P3	2,957503722	0,259010656	1
ACTG1P4	-1,214004644	0,761134428	1
ACTG1P9	3,64544951	0,380293877	1
ACTG2	0,531605582	0,097570593	1
ACTL10	-1,099202557	0,503376126	1
ACTL11P	0,434092981	0,813027584	1
ACTL6A	-0,171606337	0,243799431	1
ACTL6B	0,292027511	0,541266304	1
ACTL7B	0	1	1
ACTL8	2,202210605	0,618919689	1
ACTN1	0,007792456	0,972949169	1
ACTN1-DT	-0,732292991	0,905763221	1
ACTN2	0,142686569	0,435981288	1
ACTN3	0,913719829	0,222144574	1
ACTN4	0,150898761	0,280189387	1
ACTR10	-0,200028393	0,19472644	1
ACTR1A	-0,074287712	0,583266354	1
ACTR1B	0,154947467	0,347373596	1
ACTR2	-0,149441958	0,241887785	1
ACTR3	-0,155619226	0,25400816	1
ACTR3-AS1	-2,237070249	0,379438384	1
ACTR3B	-0,235289694	0,313313245	1
ACTR3C	-1,867519909	0,29553252	1
ACTR5	0,063080555	0,806785677	1
ACTR6	-0,089865139	0,644253538	1
ACTR8	-0,084850148	0,669158547	1
ACTRT1	1,940567762	0,75482735	1
ACTRT3	0,225652864	0,617759784	1
ACVR1	0,05067684	0,765920202	1
ACVR1B	-0,200615418	0,257596361	1
ACVR1C	0,255283588	0,7146476	1
ACVR2A	-0,198476436	0,214277896	1
ACVR2B	0,00524164	0,978688587	1
ACVR2B-AS1	0,458742845	0,410301925	1
ACVRL1	-0,517780992	0,344056579	1
ACY1	0,080780717	0,787988987	1
ACYP1	0,217836209	0,491187974	1
ACYP2	0,122325687	0,688801974	1
ADA	0,122316592	0,663330599	1
ADA2	-0,163048641	0,489924194	1
ADAD1	-0,67637518	0,912676445	1
ADAD2	0,232710391	0,969833823	1
ADAL	-0,189678721	0,387010899	1
ADAM10	-0,188172669	0,316810175	1
ADAM11	-0,085383796	0,823401476	1
ADAM12	0,420737528	0,015969667	1
ADAM15	-0,111185489	0,626221459	1
ADAM17	0,020684686	0,902151942	1
ADAM18	-2,205285982	0,719788867	1
ADAM19	0,03726261	0,816271781	1
ADAM1A	-1,27885558	0,676018786	1
ADAM2	-0,982236842	0,873611259	1
ADAM20	-0,932076583	0,751719794	1
ADAM20P1	-0,040549018	0,969100158	1
ADAM21	-0,861944288	0,555045213	1
ADAM21P1	0,396645366	0,948719561	1
ADAM22	0,02357435	0,923707172	1
ADAM23	0,023543517	0,904465113	1
ADAM28	0,272202276	0,484332294	1
ADAM29	-1,151763597	0,812989646	1
ADAM30	0	1	1
ADAM32	-0,562639359	0,293378086	1
ADAM33	0,465808787	0,101446229	1
ADAM3B	4,589941231	0,202464947	1
ADAM7	2,500179568	0,685647432	1
ADAM8	0,753686003	0,209206925	1
ADAM9	-0,107112942	0,574181818	1
ADAMTS1	0,20281231	0,27296814	1
ADAMTS10	0,127840311	0,433704589	1
ADAMTS12	0,199874002	0,375289946	1
ADAMTS13	0,173637945	0,594705963	1
ADAMTS14	0,144215414	0,501510019	1
ADAMTS15	-0,0070825	0,974679407	1
ADAMTS16	-1,070984499	0,126295145	1
ADAMTS16-DT	-1,514593319	0,008822252	1
ADAMTS17	0,577714156	0,035340129	1
ADAMTS18	-1,286186716	0,195994739	1
ADAMTS19	-0,313016834	0,695340644	1
ADAMTS19-AS1	1,465508608	0,485300168	1
ADAMTS2	0,029354209	0,890314792	1
ADAMTS20	0,165881987	0,744909098	1
ADAMTS3	-0,006953988	0,97867882	1
ADAMTS4	0,294359417	0,327101788	1
ADAMTS5	-0,632937424	0,004305766	1
ADAMTS6	0,609754044	0,160546995	1
ADAMTS7	-0,020682621	0,900057554	1
ADAMTS7P1	0,963024976	0,666977405	1
ADAMTS7P3	0,303313217	0,884813009	1
ADAMTS7P4	0,565058201	0,409510847	1
ADAMTS8	0,506481057	0,268918169	1
